w1,w2,w3,d1,d2,d3,scenario_number
0.0,32.0,43.0,7,231,308,564
0.0,32.0,44.0,7,231,315,565
0.0,32.0,45.0,7,231,322,566
0.0,33.0,39.0,7,238,280,567
0.0,33.0,40.0,7,238,287,568
0.0,33.0,41.0,7,238,294,569
0.0,33.0,42.0,7,238,301,570
0.0,33.0,43.0,7,238,308,571
0.0,33.0,44.0,7,238,315,572
0.0,33.0,45.0,7,238,322,573
0.0,34.0,40.0,7,245,287,574
0.0,34.0,41.0,7,245,294,575
0.0,34.0,42.0,7,245,301,576
0.0,34.0,43.0,7,245,308,577
0.0,34.0,44.0,7,245,315,578
0.0,34.0,45.0,7,245,322,579
0.0,35.0,41.0,7,252,294,580
0.0,35.0,42.0,7,252,301,581
0.0,35.0,43.0,7,252,308,582
0.0,35.0,44.0,7,252,315,583
0.0,35.0,45.0,7,252,322,584
0.0,36.0,42.0,7,259,301,585
0.0,36.0,43.0,7,259,308,586
0.0,36.0,44.0,7,259,315,587
0.0,36.0,45.0,7,259,322,588
0.0,37.0,43.0,7,266,308,589
0.0,37.0,44.0,7,266,315,590
0.0,37.0,45.0,7,266,322,591
0.0,38.0,44.0,7,273,315,592
0.0,38.0,45.0,7,273,322,593
0.0,39.0,45.0,7,280,322,594
1.0,7.0,13.0,14,56,98,595
1.0,7.0,14.0,14,56,105,596
1.0,7.0,15.0,14,56,112,597
1.0,7.0,16.0,14,56,119,598
1.0,7.0,17.0,14,56,126,599
1.0,7.0,18.0,14,56,133,600
1.0,7.0,19.0,14,56,140,601
1.0,7.0,20.0,14,56,147,602
1.0,7.0,21.0,14,56,154,603
1.0,7.0,22.0,14,56,161,604
1.0,7.0,23.0,14,56,168,605
1.0,7.0,24.0,14,56,175,606
1.0,7.0,25.0,14,56,182,607
1.0,7.0,26.0,14,56,189,608
1.0,7.0,27.0,14,56,196,609
1.0,7.0,28.0,14,56,203,610
1.0,7.0,29.0,14,56,210,611
1.0,7.0,30.0,14,56,217,612
1.0,7.0,31.0,14,56,224,613
1.0,7.0,32.0,14,56,231,614
1.0,7.0,33.0,14,56,238,615
1.0,7.0,34.0,14,56,245,616
1.0,7.0,35.0,14,56,252,617
1.0,7.0,36.0,14,56,259,618
1.0,7.0,37.0,14,56,266,619
1.0,7.0,38.0,14,56,273,620
1.0,7.0,39.0,14,56,280,621
1.0,7.0,40.0,14,56,287,622
1.0,7.0,41.0,14,56,294,623
