"","baseline_eir","scenario_number","archetype","drug_type","Scenario","cost.CHW","cost.RDT","cost.drug","cost.ACT","cost.smc","cost.facility","cost.severe","cost.bednet","cost.iver","cost.prim","cost.CHW.d","cost.RDT.d","cost.drug.d","cost.facility.d","cost.severe.d","cost.d","cost.smc.ref","cost.smc.low","cost.low","cost","cases"
"57",1,10,"Southern","ASAQ","Southern_10_1",1212.20686626898,8834.65346495186,769.890968679184,199.038774563821,0,8491.47732949725,188.054804242026,13691.520443361,0,0,1212.20686626898,8834.65346495186,769.890968679184,8491.47732949725,188.054804242026,33386.8426515642,0,0,33386.8426515642,33386.8426515642,1805.19999836616
"58",10,38,"Central","DP","Central_38_10",5428.94068040165,562.634217827042,1472.17845511322,250.640819901811,0,10615.0869066174,1833.84019186479,13691.520443361,0,0,5428.94068040165,562.634217827042,1472.17845511322,10615.0869066174,1833.84019186479,33854.8417150869,0,0,33854.8417150869,33854.8417150869,5371.80001025034
"59",1,1,"Southern","ASAQ","Southern_1_1",5179.87145195561,555.506509659201,3307.20351628447,247.015482639955,0,10668.160380954,334.037737673707,13691.520443361,0,0,5179.87145195561,555.506509659201,3307.20351628447,10668.160380954,334.037737673707,33983.315522528,0,0,33983.315522528,33983.315522528,2362.20000136242
"60",10,43,"Southern","None","Southern_43_10",0,893.763889899496,0,398.144530106269,0,16862.7557624341,2193.42870832528,13691.520443361,0,0,0,893.763889899496,0,16862.7557624341,2193.42870832528,34039.6133341262,0,0,34039.6133341262,34039.6133341262,5150.20001583153
"61",1,2,"Southern","ASAQ","Southern_2_1",4268.47933839889,648.43238915348,2723.13431680452,289.595578345764,0,12330.3024846689,359.379106051855,13691.520443361,0,0,4268.47933839889,648.43238915348,2723.13431680452,12330.3024846689,359.379106051855,34310.8436567845,0,0,34310.8436567845,34310.8436567845,2642.99999838847
"62",100,38,"Southern","DP","Southern_38_100",5417.23852467026,527.038017408893,1469.72960553422,234.728928161581,0,9945.62019304908,3045.49125426612,13691.520443361,0,0,5417.23852467026,527.038017408893,1469.72960553422,9945.62019304908,3045.49125426612,34331.3669664512,0,0,34331.3669664512,34331.3669664512,4566.80000038822
"63",100,42,"Central","None","Central_42_100",0,835.687389021832,0,372.307791274685,0,15769.5076702164,3806.64418338166,13691.520443361,0,0,0,835.687389021832,0,15769.5076702164,3806.64418338166,34475.6674772556,0,0,34475.6674772556,34475.6674772556,6682.00000192265
"64",1,0,"Southern","ASAQ","Southern_0_1",5951.81568306198,542.020714220612,3798.71274195529,241.465048716652,0,10332.9264874116,363.728878176881,13691.520443361,0,0,5951.81568306198,542.020714220612,3798.71274195529,10332.9264874116,363.728878176881,34922.189996904,0,0,34922.189996904,34922.189996904,2473.19999381295
"65",3,44,"Southern","None","Southern_44_3",0,1006.51058544992,0,448.1675082556,0,18968.3043554108,1021.52689796142,13691.520443361,0,0,0,1006.51058544992,0,18968.3043554108,1021.52689796142,35136.0297904388,0,0,35136.0297904388,35136.0297904388,4248.40000228567
"66",3,25,"Southern","DP","Southern_25_3",5327.30620040119,699.023258755999,1444.93295987444,311.417473758439,0,13221.2190649899,721.878334059024,13691.520443361,0,0,5327.30620040119,699.023258755999,1444.93295987444,13221.2190649899,721.878334059024,35417.2977352001,0,0,35417.2977352001,35417.2977352001,2974.19999806763
"67",3,40,"Southern","DP","Southern_40_3",5327.30620040119,699.023258755999,1444.93295987444,311.417473758439,0,13221.2190649899,721.878334059024,13691.520443361,0,0,5327.30620040119,699.023258755999,1444.93295987444,13221.2190649899,721.878334059024,35417.2977352001,0,0,35417.2977352001,35417.2977352001,2974.19999806763
"68",10,39,"Southern","DP","Southern_39_10",5169.21734190871,694.273377173073,1402.79176634841,309.456376622878,0,13130.2663347373,1143.67114666085,13691.520443361,0,0,5169.21734190871,694.273377173073,1402.79176634841,13130.2663347373,1143.67114666085,35541.1967868122,0,0,35541.1967868122,35541.1967868122,3893.99999133405
"69",30,38,"Central","DP","Central_38_30",5331.65525068909,626.000414066906,1446.76551227371,278.749787886208,0,11785.5470236789,2450.52825142677,13691.520443361,0,0,5331.65525068909,626.000414066906,1446.76551227371,11785.5470236789,2450.52825142677,35610.7666833826,0,0,35610.7666833826,35610.7666833826,5146.80000361777
"70",3,34,"Southern","DP","Southern_34_3",5302.56941465153,765.919457888055,1438.76473757537,341.256917152418,0,14454.5033747046,481.216825447365,13691.520443361,287.413152695927,0,5302.56941465153,765.919457888055,1438.76473757537,14454.5033747046,481.216825447365,36763.1643234763,0,0,36763.1643234763,36763.1643234763,2270.59999785687
"71",1,34,"Sahel","DP","Sahel_34_1",2063.41740270988,758.554324761252,1445.5764613475,338.581106793831,0,18498.8274726734,179.369995235887,13691.520443361,0,0,2063.41740270988,758.554324761252,1445.5764613475,18498.8274726734,179.369995235887,36975.8472068828,32185.9635940341,0,36975.8472068828,36975.8472068828,2926.4000013298
"72",1,38,"Sahel","DP","Sahel_38_1",2063.41740270988,758.554324761252,1445.5764613475,338.581106793831,0,18498.8274726734,179.369995235887,13691.520443361,0,0,2063.41740270988,758.554324761252,1445.5764613475,18498.8274726734,179.369995235887,36975.8472068828,32185.9635940341,0,36975.8472068828,36975.8472068828,2926.4000013298
"73",1,41,"Sahel","DP","Sahel_41_1",2075.69077122193,741.051431317968,1454.20303491485,331.418466189585,0,18027.9623853031,140.979168731235,13691.520443361,290.509271010737,252.602707880081,2075.69077122193,741.051431317968,1454.20303491485,18027.9623853031,140.979168731235,37005.9376799306,32185.9635940341,0,37005.9376799306,37005.9376799306,2843.00000173889
"74",1,40,"Sahel","DP","Sahel_40_1",2066.0707544825,752.625324792877,1447.0303230281,336.840943665839,0,18380.04091732,112.613149855538,13691.520443361,289.187357520313,0,2066.0707544825,752.625324792877,1447.0303230281,18380.04091732,112.613149855538,37075.9292140262,32185.9635940341,0,37075.9292140262,37075.9292140262,2764.99999512686
"75",3,26,"Southern","DP","Southern_26_3",5883.54607995093,776.124840586253,1596.32840005497,345.835471095549,0,14691.9997349823,249.408885772485,13691.520443361,0,0,5883.54607995093,776.124840586253,1596.32840005497,14691.9997349823,249.408885772485,37234.7638558035,0,0,37234.7638558035,37234.7638558035,2382.2000006128
"76",3,55,"Southern","DP","Southern_55_3",5883.54607995093,776.124840586253,1596.32840005497,345.835471095549,0,14691.9997349823,249.408885772485,13691.520443361,0,0,5883.54607995093,776.124840586253,1596.32840005497,14691.9997349823,249.408885772485,37234.7638558035,0,0,37234.7638558035,37234.7638558035,2382.2000006128
"77",3,12,"Southern","DP","Southern_12_3",6133.1608816296,787.438000081144,1663.92147238262,351.129408173928,0,14802.2138926231,417.467465926171,13691.520443361,0,0,6133.1608816296,787.438000081144,1663.92147238262,14802.2138926231,417.467465926171,37846.8515641777,0,0,37846.8515641777,37846.8515641777,2562.39998744195
